ID,Ubicacion,Tipo de habitacion,Tipo de propiedad,Capacidad,Dormitorios,Banos,Precio
234,Pavones, Habitacion privada , B&B ,2,1,1,117
235,San Jose, Habitacion privada , Casa ,1,1,1,21
236,Nosara Nicoya, Habitacion privada , Caba̱a ,3,1,1,84
237,Aguas Zarcas, Habitacion privada , Bungalow ,2,1,1,71
238,Paraiso/Cachi, Habitacion privada , Villa ,2,1,1,85
239,Del Coco Beach, Habitacion privada , Apartamento ,1,1,1,17
240,Cartago Costa Rica, Habitacion privada , Caba̱a ,4,1,1,93
241,Playa Flamingo, Habitacion privada , Otros ,4,1,1,279
242,Cabo Velas Santa Cruz Playa Brasilito Guanacste Costa R..., Habitacion privada , Casa ,5,1,1,17
243,Quepos, Habitacion privada , Apartamento ,2,1,1,42
244,Escazu, Habitacion privada , Apartamento ,2,1,1,51
245,Santa Barbara, Habitacion privada , B&B ,1,1,1,30
246,Escazu, Habitacion privada , Apartamento ,2,1,1,51
247,Santa Barbara, Habitacion privada , B&B ,1,1,1,30
248,Turrucares, Habitacion privada , B&B ,2,1,1,47
249,Puerto Jimenez, Habitacion privada , B&B ,4,1,1,70
250,Tambor Beach, Habitacion privada , B&B ,2,1,3,168
251,Escazu, Habitacion privada , Apartamento ,2,1,1,51
252,Santa Barbara, Habitacion privada , B&B ,1,1,1,30
253,Turrucares, Habitacion privada , B&B ,2,1,1,47
254,Puerto Jimenez, Habitacion privada , B&B ,4,1,1,70
255,Tambor Beach, Habitacion privada , B&B ,2,1,3,168
256,Escazu, Habitacion privada , Apartamento ,2,1,1,51
257,Santa Barbara, Habitacion privada , B&B ,1,1,1,30
258,Turrucares, Habitacion privada , B&B ,2,1,1,47
259,Puerto Jimenez, Habitacion privada , B&B ,4,1,1,70
260,Tambor Beach, Habitacion privada , B&B ,2,1,3,168
261,Puerto Quepos, Habitacion privada , Casa ,1,1,2,19
262,Playa Chiquita, Casa/apto entero , Casa ,4,2,2,117
263,Puerto Jimenez, Casa/apto entero , Caba̱a ,5,1,1,84
264,Playa Flamingo, Casa/apto entero , Casa ,5,2,1,65
265,Dominicalito Costa Rica, Casa/apto entero , Villa ,5,2,2.5,261
266,Dominical, Habitacion privada , B&B ,2,1,1,86
267,San Ramon, Habitacion privada , Casa ,2,1,1,37
268,Liberia Canton, Habitacion privada , B&B ,2,1,0,43
269,Ballena, Casa/apto entero , Caba̱a ,4,1,2,112
270,Quepos Manuel Antonio, Casa/apto entero , Apartamento ,3,1,1,35
271,Rio Segundo, Habitacion privada , B&B ,4,1,1,47
272,Playa Callejones/ParisoGuancaste-Costa Rica, Habitacion privada , Loft ,4,1,1,84
273,LA ALEGRIA DE OROSI, Habitacion privada , B&B ,2,1,1,33
274,Avellanas Guanacaste; Costa Rica, Casa/apto entero , Casa ,4,1,1,47
275,Puerto Viejo, Casa/apto entero , Casa ,4,2,1,103
276,Granadilla, Habitacion privada , Casa ,3,1,2,28
277,Turrialba, Casa/apto entero , Caba̱a ,4,0,1,93
278,Tilaran, Casa/apto entero , Casa ,6,3,1,56
279,Tamarindo, Casa/apto entero , Apartamento ,2,1,1,93
280,Rio Blanco, Casa/apto entero , Caba̱a ,4,1,1,83
281,Concepcion de La Union, Habitacion privada , Casa ,3,1,1,42
282,Puerto Viejo de Sarapiqui, Habitacion privada , Casa ,2,1,2,55
283,Dominical Costa Rica, Habitacion privada , Casa ,2,1,1,47
284,Manuel Antonio, Casa/apto entero , Apartamento ,2,1,1,47
285,Puerto Viejo de Talamanca Limon, Casa/apto entero , Casa ,2,1,1,51
286,Samara, Habitacion privada , Casa ,2,1,1,28
287,Cooper, Casa/apto entero , Casa en un arbol ,4,2,1,98
288,Quepos, Casa/apto entero , Otros ,2,0,1,70
289,Manuel Antonio, Casa/apto entero , Apartamento ,2,0,1,52
290,Montezuma, Casa/apto entero , Caba̱a ,2,1,1,89
291,Alajuela Costa Rica, Habitacion privada , Casa ,1,1,1,23
292,San Ramon, Habitacion privada , B&B ,2,1,1,75
293,San Ramon, Habitacion privada , B&B ,2,1,1,75
294,San Ramon, Habitacion privada , B&B ,2,1,1,75
295,San Ramon, Habitacion privada , B&B ,2,1,1,75
296,Uvita, Casa/apto entero , Casa ,6,2,2.5,100
297,Rio Segundo, Habitacion privada , B&B ,4,1,1,51
298,Sabalito, Habitacion privada , Caba̱a ,2,1,1,30
299,Puntarenas Canton, Habitacion privada , B&B ,9,1,1,28
300,Dominical, Casa/apto entero , Casa ,10,3,1.5,93
301,Paraiso, Habitacion privada , B&B ,2,1,1,61
302,Rincon, Casa/apto entero , Otros ,6,2,1,70
303,Lake Arenal, Casa/apto entero , Casa ,4,2,2,64
304,Carillo, Habitacion privada , B&B ,3,1,1,65
305,Dominical, Casa/apto entero , Villa ,5,2,2,182
306,Heredia Costa Rica, Habitacion privada , Loft ,2,1,1,23
307,Paraiso, Habitacion privada , B&B ,5,1,1,89
308,Playa Matapalo Savegre, Habitacion privada , B&B ,2,1,1,61
309,Puerto Viejo de Talamanca, Casa/apto entero , Casa ,4,2,1,75
310,Quepos, Habitacion privada , B&B ,2,1,1,56
311,Conchal Guanacaste, Casa/apto entero , Villa ,6,3,3,336
312,Montezuma, Casa/apto entero , Caba̱a ,2,1,1,48
313,San Carlos Fortuna, Casa/apto entero , B&B ,2,1,1,79
314,Montezuma, Casa/apto entero , Casa en un arbol ,3,1,1.5,74
315,Playa Grande, Casa/apto entero , Apartamento ,2,1,1,37
316,Puerto Jimenez Peninsula de Osa, Casa/apto entero , Casa ,3,1,1,167
317,Uvita, Casa/apto entero , Casa ,4,2,1,79
318,Playa Grande Guanacaste, Habitacion privada , Casa ,2,1,1,70
319,Francisco Peralta Los Yoses San Jose, Habitacion privada , Casa ,1,1,1,22
320,Manuel Antonio, Casa/apto entero , Otros ,2,0,1,92
321,San Rafael de Escazu, Casa/apto entero , Loft ,3,0,1,79
322,Tamarindo, Casa/apto entero , Apartamento ,2,0,1,126
323,Montezuma, Casa/apto entero , Casa ,6,3,2,154
324,Santa Cruz, Casa/apto entero , Casa ,4,2,1,47
325,Uvita, Casa/apto entero , Casa ,2,1,1,89
326,Samara, Casa/apto entero , Apartamento ,4,2,1,61
327,Puerto Viejo, Casa/apto entero , Casa ,6,2,1,92
328,Mal Pais, Casa/apto entero , Caba̱a ,4,2,1,56
329,Avellanas, Casa/apto entero , Casa ,6,3,2.5,112
330,Turrialba, Habitacion privada , B&B ,2,1,1,70
331,Uruca District, Habitacion privada , Casa ,2,1,1,23
332,Tamarindo, Casa/apto entero , Apartamento ,2,0,1,126
333,Tamarindo, Casa/apto entero , Casa ,6,3,4,252
334,El Gavilan, Habitacion privada , Caba̱a ,5,1,1,130
335,Moctezuma, Casa/apto entero , Caba̱a ,3,1,1,89
336,Puerto Viejo de Talamanca, Casa/apto entero , Casa ,2,1,1,70
337,Manuel Antonio, Casa/apto entero , Villa ,2,1,,112
338,Playa Conchal, Casa/apto entero , Caba̱a ,2,0,1,46
339,La Suiza, Casa/apto entero , Caba̱a ,4,2,1,46
340,Potrero, Casa/apto entero , Casa ,8,4,4.5,240
341,Matapalo, Habitacion privada , B&B ,4,1,1.5,70
342,Las Catalinas, Casa/apto entero , Apartamento ,4,2,1,135
343,Esterillos Oeste, Habitacion privada , Casa ,2,1,1,33
344,Playa Bandera Parrita Costa rica, Casa/apto entero , Casa ,7,3,2,89
345,Manuel Antonio, Casa/apto entero , Casa ,2,1,1,30
346,Playa Langosta, Casa/apto entero , Villa ,8,3,3.5,228
347,Atenas, Casa/apto entero , Apartamento ,2,1,1,23
348,Escazu, Casa/apto entero , B&B ,2,1,1,48
349,Quepos, Casa/apto entero , Apartamento ,3,1,1,51
350,Quepos, Casa/apto entero , Apartamento ,3,1,1,51
351,Quepos, Casa/apto entero , Apartamento ,3,1,1,51
352,Playa Potrero, Casa/apto entero , Casa ,6,3,2,121
353,Montezuma, Casa/apto entero , Bungalow ,4,2,1,75
354,Ocotal Beach, Casa/apto entero , Casa ,4,2,2,140
355,Rio Segundo, Habitacion privada , B&B ,2,1,1,47
356,Manuel Antonio, Casa/apto entero , Loft ,3,0,1,47
357,Dominical, Habitacion privada , Caba̱a ,2,1,1,93
358,Manuel Antonio, Casa/apto entero , Villa ,2,1,1,112
359,Manuel Antonio, Habitacion privada , B&B ,2,1,,33
360,Paraiso, Habitacion privada , B&B ,3,1,1,51
