"","pccdd","p","pcc","ndstrelct02","ndistadm","njuntas02","inscr02","pindob02","pmvlb02","prscnc02","prnvct02","pcmb202","palznc02","pintnl02","ppusc02","ppac02","pptrnl02","pfrzdm02","pungnr02","ppln02","pvalid02","pnulos02","pblanc02","precib02","pabst02","dindob02","dunagc02","dmvlb02","drscnc02","dcnvnl02","dagrnl02","drnvct02","daclba02","dcmb202","dalznc02","dintnl02","dpusc02","dpac02","dptrnl02","dfrzdm02","dfrgrc02","dungnr02","dpln02","dvalid02","dnulos02","dblanc02","drecib02","dabst02","rindob02","rhmnmto02","rgtind02","rophmsj02","ryntscz02","rmvlb02","rrscnc02","ralpsjo02","rhmnvrdh02","rcrrsxi02","rdelsol02","rcnvnl02","rautsrp02","rnvcorr02","rhmecbr02","raccqup02","rindblm02","raccglft02","ragrnl02","rrnvct02","raclba02","rcmb202","rgrbecl02","rintnl02","raccsiqi02","rautpr02","rpusc02","rpac02","raljnva02","rptrnl02","rfrzdm02","rfrgrc02","rungnr02","rpln02","rcnclmn02","rvalid02","rnulos02","rblanc02","rrecib02","rabst02","distrito","nddee2006","njuntas06","inscr06","precib06","pvalid06","pclizu06","pintnl06","prnvct06","ppac06","punptr06","ppusc06","paldm06","ppln06","pptrpr06","pmvlb06","prscnc06","pfrzdm06","punacl06","punpcm06","pnulos06","pblanc06","pabst06","drecib06","dvalid06","dclizu06","dacsex06","dintnl06","drnvct06","dpac06","dnvlgf06","dunptr06","daclba06","dintpr06","dpusc06","dauthr06","dmvtrc06","daldm06","dpln06","drstnc06","dframp06","dptrpr06","dmvlb06","dacdml06","dfrgrc06","dunagc06","dgtind06","dautrc06","dfrzdm06","dunacl06","dunpcm06","dvrdec06","dnulos06","dblanc06","dabst06","rrecib06","rvalid06","rfrzcmds06","rclizu06","rintnl06","rrnvct06","rpac06","rmrvpgr06","rnvlgf06","runptr06","raclba06","rgchacc06","raccqup06","rautplr06","rintpr06","rpusc06","rauthr06","ryntscz06","rmvtrcm06","rhmnhd06","rdelsol06","raldm06","rpln06","rrstnclt06","rframp06","rptrpr06","rmvlb06","racdml06","rfrgrc06","rcrrsxi06","rgrbecl06","runagc06","raljnva06","rhmnmto06","rorglbag06","ralpsjo06","rindblm06","rgtind06","raccsiqi06","rautorm06","rautlbcr06","rautrc06","rcmnprcr06","rfrzdm06","rpntcmmr06","rautsrp06","runacl06","runnplm06","runpcm06","rvrdecl06","rnulos06","rblanc06","rabst06","njuntas10","ndistelect10","inscr10","precib10","pvalid10","ppusc10","pintnl10","palzptr10","prnvct10","pframp10","ppln10","pmvlb10","ppac10","pacsex10","pnulos10","pblanc10","pabst10","drecib10","dvalid10","dpusc10","dfrzfma10","dintnl10","dvrdec10","dalzptr10","drnvct10","dframp10","dpln10","dunagc10","drstalj10","dmvlb10","drstnc10","dmvtrc10","dalznyr10","dpac10","dtrncrt10","drsthrd10","dacsex10","dnulos10","dblanc10","dabst10","rrecib10","rvalid10","rpusc10","rcmnprcr10","rcrrsxi10","rtrrzprm10","rintnl10","rcvtbft10","rgchacc10","rvrdecl10","rtlmund10","ralzptr10","rrnvalj10","rpntcmmr10","runnplm10","rrnvct10","rclcmoun10","rframp10","rorglbag10","rclcalsc10","rvvbnair10","raccnrj10","rpln10","rgrbecl10","runagcl10","rclcbrbun10","rclcppar10","rrstalj10","rmvlb10","rrstncl10","rautorm10","rautlbcr10","rmvavsd10","raccsoqi10","raccqup10","rmvtrcm10","runcabg10","runnatn10","rorgscac10","rdelsol10","rclcbrb10","rclchdun10","ralzmyr10","rindblm10","rclcalj10","rpac10","rclclgrm10","rintbrb10","rrsthda10","raccsex10","ryntscz10","rclcfrpp10","rnulos10","rblanc10","rabst10","juntas14","inscr14","pvotosrecibidos14","pvalid14","ppase14","ppac14","ppan14","pde_los_trabajadores14","pfa14","ppin14","ppln14","pml14","ppng14","pppn14","pprc14","pprn14","ppusc14","pnulos14","pblancos14","pabs14","dvotosrecibidos14","dvotosvalidos14","dpase14","dpac14","dpadc14","dpap14","dpan14","dde_los_trabajadores14","dde_los_transportistas14","dfa14","dpin14","dpln14","dml14","dpng14","dnps14","dppid14","dppid_puntarenas14","dppn14","dprc14","dprn14","dpusc14","dverde14","dviviapuntarenas14","dnulos14","dblancos14","dabstencionismo14"
"310",40702,4,407,1,"La Ribera",11,4266,0,50,2,8,7,0,13,1182,912,3,7,4,962,3150,32,10,3192,1074,1,NA,265,11,NA,NA,41,NA,11,5,66,1081,721,8,49,NA,4,862,3125,33,31,3189,1077,NA,NA,NA,NA,NA,144,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,48,NA,30,NA,79,NA,NA,955,605,NA,NA,75,NA,NA,1027,NA,3132,34,25,3191,1075,"La Ribera",1,1,4850,3473,3392,3,8,7,1311,1,91,38,1462,25,284,5,5,36,116,54,27,1377,3471,3373,6,NA,70,67,962,NA,4,NA,NA,236,35,NA,138,1353,NA,NA,48,310,NA,NA,NA,NA,NA,14,44,86,NA,64,34,1379,3471,3379,NA,NA,235,46,621,NA,NA,NA,NA,NA,NA,NA,NA,304,24,NA,NA,NA,NA,242,1171,NA,NA,54,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,NA,NA,NA,NA,NA,NA,13,NA,NA,29,NA,99,NA,64,28,1379,11,1,5344,4070,3995,188,1,4,6,10,2089,771,843,83,59,16,1274,4071,3982,468,NA,17,NA,79,44,101,1687,NA,NA,532,NA,NA,NA,619,NA,116,319,61,28,1273,4070,3990,773,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,441,NA,NA,136,154,NA,NA,61,19,1274,11,5886,4471,4411,12,1580,3,8,570,4,1319,488,10,40,8,20,349,49,11,1415,4471,4419,117,1129,NA,NA,12,19,NA,400,13,1037,336,34,6,NA,NA,51,50,102,1113,NA,NA,35,17,1415
"311",40703,4,407,1,"Asunción",6,2135,1,23,1,3,1,0,3,679,462,2,4,2,497,1678,22,4,1704,431,5,NA,180,3,NA,NA,20,NA,2,5,14,575,423,2,28,NA,0,418,1675,13,16,1704,431,NA,NA,NA,NA,NA,90,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,19,NA,1,NA,20,NA,NA,600,352,NA,NA,42,NA,NA,492,NA,1681,12,12,1705,430,"Asunción",1,1,2508,1888,1870,0,1,2,749,0,68,3,859,11,90,3,4,29,51,13,5,620,1886,1855,5,NA,12,24,503,NA,5,NA,NA,200,11,NA,15,803,NA,NA,26,175,NA,NA,NA,NA,NA,8,35,33,NA,21,10,622,1886,1860,NA,NA,62,14,274,NA,NA,NA,NA,NA,NA,NA,NA,372,20,NA,NA,NA,NA,54,765,NA,NA,26,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,5,NA,NA,20,NA,21,NA,15,11,622,6,1,2962,2319,2302,139,0,1,8,8,1292,310,521,23,14,3,643,2319,2290,280,NA,6,NA,45,29,62,1122,NA,NA,241,NA,NA,NA,366,NA,22,117,11,18,643,2319,2286,408,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,257,NA,NA,35,81,NA,NA,16,17,643,7,3406,2724,2696,8,960,2,7,235,4,797,401,6,18,1,5,252,22,6,682,2724,2691,35,703,NA,NA,6,7,NA,196,1,713,387,36,5,NA,NA,29,26,46,501,NA,NA,21,12,682
"312",40801,4,408,1,"San Joaquín",14,5313,1,53,1,39,6,0,15,1357,1473,1,6,2,973,3927,34,10,3971,1342,3,NA,369,21,NA,NA,84,NA,18,7,30,1118,1253,4,62,NA,5,924,3898,40,32,3970,1343,NA,NA,NA,NA,NA,144,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,33,NA,NA,1133,1368,NA,NA,71,NA,NA,1022,NA,3883,53,34,3970,1343,"San Joaquín",1,1,6032,4345,4302,1,14,17,1888,4,123,7,1727,43,284,5,13,56,120,36,7,1687,4346,4276,17,NA,28,95,1352,NA,37,NA,NA,438,116,NA,29,1544,NA,NA,60,367,NA,NA,NA,NA,NA,24,58,111,NA,53,17,1686,4345,4274,NA,NA,NA,81,1169,NA,NA,NA,NA,NA,NA,NA,NA,444,210,NA,NA,NA,NA,69,1551,NA,NA,37,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,59,NA,338,NA,46,25,1687,14,1,6977,5286,5218,146,3,16,15,21,2591,954,1396,76,59,9,1691,5287,5171,305,NA,19,NA,190,81,221,2101,NA,NA,684,NA,NA,NA,1083,NA,123,364,72,44,1690,5287,5204,481,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,1823,NA,NA,NA,NA,NA,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,111,180,NA,NA,57,26,1690,15,7862,6102,6047,15,2817,7,9,713,4,1526,538,27,56,14,42,279,49,6,1760,6100,6027,172,2257,NA,NA,19,27,NA,647,7,1322,453,94,5,NA,NA,97,105,201,621,NA,NA,56,17,1762
"313",40802,4,408,1,"Barrantes",5,1669,1,13,2,9,0,0,6,367,535,1,0,0,335,1269,17,2,1288,381,1,NA,130,7,NA,NA,26,NA,5,6,12,267,446,4,16,NA,2,336,1258,17,13,1288,381,NA,NA,NA,NA,NA,25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,10,NA,NA,271,358,NA,NA,17,NA,NA,539,NA,1256,17,15,1288,381,"Barrantes",1,1,1834,1470,1451,1,5,2,611,1,36,3,642,13,71,1,1,24,40,11,8,364,1470,1436,2,NA,5,13,429,NA,7,NA,NA,83,66,NA,4,640,NA,NA,17,105,NA,NA,NA,NA,NA,8,24,33,NA,20,14,364,1470,1442,NA,NA,NA,8,286,NA,NA,NA,NA,NA,NA,NA,NA,57,57,NA,NA,NA,NA,2,855,NA,NA,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,33,NA,81,NA,15,13,364,4,1,2046,1688,1655,55,0,1,7,2,887,256,428,19,23,10,358,1688,1645,90,NA,3,NA,54,18,50,719,NA,NA,197,NA,NA,NA,370,NA,30,114,19,24,358,1688,1655,118,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,606,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,NA,NA,27,45,NA,NA,19,14,358,5,2343,1966,1946,7,920,0,0,211,5,539,150,2,16,4,5,87,17,3,377,1966,1938,56,795,NA,NA,8,4,NA,172,9,509,150,19,1,NA,NA,22,24,34,135,NA,NA,12,16,377
"314",40803,4,408,1,"Llorente",8,2958,0,29,0,39,5,0,6,803,586,0,5,6,683,2162,28,6,2196,762,0,NA,199,19,NA,NA,86,NA,4,6,10,673,494,6,51,NA,1,591,2140,26,28,2194,764,NA,NA,NA,NA,NA,111,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,11,NA,NA,672,497,NA,NA,110,NA,NA,620,NA,2145,20,30,2195,763,"Llorente",1,1,3641,2625,2569,1,4,6,933,2,102,10,1183,27,188,7,4,32,70,43,13,1016,2625,2562,2,NA,19,73,616,NA,7,NA,NA,302,54,NA,22,1067,NA,NA,50,220,NA,NA,NA,NA,NA,16,39,75,NA,39,24,1016,2625,2553,NA,NA,NA,58,591,NA,NA,NA,NA,NA,NA,NA,NA,270,129,NA,NA,NA,NA,24,1100,NA,NA,51,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,27,NA,120,NA,43,29,1016,9,1,4381,3297,3243,133,2,10,17,3,1705,663,653,57,39,15,1084,3297,3237,250,NA,13,NA,114,49,63,1352,NA,NA,458,NA,NA,NA,502,NA,156,280,37,23,1084,3297,3230,299,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,1248,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,NA,NA,133,150,NA,NA,33,34,1084,9,4882,3573,3519,17,1349,2,6,425,5,1041,323,14,39,6,44,248,52,2,1309,3573,3515,152,1106,NA,NA,9,23,NA,334,7,901,201,30,1,NA,NA,58,55,218,420,NA,NA,43,15,1309
"315",40901,4,409,3,"San Pablo",33,12970,7,138,5,53,28,6,35,3520,3325,9,20,20,2367,9533,134,26,9693,3277,24,NA,935,50,NA,NA,249,NA,58,28,81,3101,2776,47,122,NA,12,2019,9502,124,66,9692,3278,105,NA,NA,NA,NA,703,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,45,NA,105,NA,NA,3106,2806,NA,NA,126,NA,NA,2191,NA,9484,110,96,9690,3280,"Sanpablo",4,4,15173,11140,10966,13,28,55,4931,9,410,36,4182,78,766,14,22,169,253,140,34,4033,11142,10918,39,NA,61,332,3175,NA,53,NA,NA,1793,143,NA,105,3710,NA,NA,117,829,NA,NA,NA,NA,NA,90,233,238,NA,160,64,4031,11142,10876,NA,NA,61,271,3192,NA,NA,52,NA,NA,NA,NA,NA,1402,234,NA,NA,NA,NA,96,3864,NA,NA,126,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,375,NA,259,NA,176,90,4031,27,1,13371,10170,10043,504,7,13,44,34,4649,1556,3071,165,111,16,3201,10169,10005,1889,NA,58,NA,111,198,474,3378,NA,NA,956,NA,NA,NA,1889,NA,365,687,112,52,3202,10169,9984,1736,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,302,NA,416,NA,NA,NA,NA,3769,NA,NA,NA,NA,NA,995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2189,NA,NA,476,NA,NA,NA,117,68,3202,28,15176,11430,11282,39,4775,18,15,1784,9,2632,839,43,132,31,96,869,130,18,3746,11430,11292,258,3439,NA,NA,64,39,NA,1221,21,2039,561,135,16,NA,NA,178,203,490,2628,NA,NA,113,25,3746
"316",41001,4,410,10,"Puerto Viejo",21,6076,2,50,0,119,12,2,5,1275,564,4,19,5,864,2921,88,29,3038,3038,14,NA,245,40,NA,NA,272,NA,22,13,17,924,433,22,111,NA,5,730,2848,91,100,3039,3037,NA,NA,NA,NA,NA,70,112,NA,NA,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,328,NA,10,NA,28,NA,NA,715,255,NA,NA,97,NA,NA,469,NA,2859,115,63,3037,3039,"Puerto Viejo",13,13,6998,3472,3357,4,5,51,1094,5,176,6,1455,27,452,3,4,25,50,91,24,3526,3472,3322,5,NA,17,432,686,NA,10,NA,NA,364,129,NA,9,1186,NA,NA,34,349,NA,NA,NA,NA,NA,29,29,43,NA,111,39,3526,3472,3315,NA,NA,NA,243,482,NA,NA,14,NA,NA,NA,NA,NA,396,203,NA,NA,NA,NA,4,974,NA,NA,24,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,605,29,NA,28,NA,109,48,3526,22,13,7889,4507,4379,131,3,8,66,7,1803,1560,751,50,102,26,3382,4507,4330,521,NA,17,NA,163,321,72,1463,NA,NA,957,NA,NA,NA,547,NA,70,199,104,73,3382,4506,4316,589,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,393,NA,61,NA,NA,NA,NA,1479,NA,NA,NA,NA,NA,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,NA,NA,125,123,NA,NA,112,78,3383,23,9100,5248,5098,26,736,5,15,1083,3,1531,1231,9,35,64,102,258,118,32,3852,5249,5101,178,584,NA,NA,14,43,NA,561,12,2353,606,10,11,NA,NA,41,159,194,335,NA,NA,99,49,3851
"317",41002,4,410,9,"La Virgen",13,3315,1,50,1,69,8,0,4,735,432,6,9,4,643,1962,58,16,2036,1279,4,NA,173,13,NA,NA,126,NA,9,9,11,634,276,12,54,NA,3,600,1924,59,52,2035,1280,NA,NA,NA,NA,NA,53,18,NA,NA,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,129,NA,9,NA,16,NA,NA,549,191,NA,NA,28,NA,NA,526,NA,1926,66,43,2035,1280,"La Virgen",9,9,3809,2281,2229,2,7,51,699,4,101,2,1107,22,185,1,1,17,30,36,16,1528,2281,2194,5,NA,6,156,461,NA,21,NA,NA,263,28,NA,5,1012,NA,NA,22,159,NA,NA,NA,NA,NA,10,27,19,NA,45,42,1528,2280,2182,NA,NA,NA,94,332,NA,NA,13,NA,NA,NA,NA,NA,366,39,NA,NA,NA,NA,6,972,NA,NA,21,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,135,46,NA,23,NA,53,45,1529,14,10,4698,3077,3000,90,1,4,141,5,1235,1014,460,50,65,12,1621,3077,2957,286,NA,12,NA,63,340,44,1076,NA,NA,543,NA,NA,NA,312,NA,150,131,71,49,1621,3077,2953,456,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,320,NA,27,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,149,95,NA,NA,85,39,1621,15,5446,3443,3359,21,635,5,5,657,5,962,572,4,28,58,191,216,72,12,2003,3444,3371,103,403,NA,NA,12,23,NA,364,10,1426,260,8,3,NA,NA,31,187,234,307,NA,NA,52,21,2002
"318",41003,4,410,17,"Horquetas",33,9249,2,161,3,380,17,3,20,1991,1343,8,52,16,1711,5707,207,53,5967,3282,10,NA,702,25,NA,NA,733,NA,39,36,37,1363,962,52,268,NA,20,1374,5621,180,164,5965,3284,NA,NA,NA,NA,NA,330,34,NA,NA,NA,NA,NA,537,NA,NA,NA,NA,NA,NA,994,NA,17,NA,47,NA,NA,1258,736,NA,NA,365,NA,NA,1305,NA,5623,193,151,5967,3282,"Horquetas",18,18,10804,6759,6495,14,13,261,2568,12,221,16,2415,98,690,8,10,60,109,217,47,4045,6761,6465,20,NA,34,1416,1457,NA,70,NA,NA,554,62,NA,20,1923,NA,NA,157,526,NA,NA,NA,NA,NA,35,67,124,NA,216,80,4043,6761,6415,NA,NA,NA,916,1260,NA,NA,188,NA,NA,NA,NA,NA,684,135,NA,NA,NA,NA,17,1727,NA,NA,110,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,691,62,NA,124,NA,240,106,4043,33,18,12701,8633,8282,200,13,34,181,38,3458,2456,1732,170,322,29,4068,8632,8237,355,NA,39,NA,321,1038,276,2650,NA,NA,1467,NA,NA,NA,1295,NA,206,590,240,155,4069,8632,8233,438,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,1302,NA,397,NA,NA,NA,NA,2633,NA,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,NA,NA,220,438,NA,NA,259,140,4069,33,14586,9512,9214,95,1389,18,38,2796,11,2579,1238,35,75,154,347,439,263,35,5074,9511,9218,405,1326,NA,NA,43,101,NA,1505,37,3638,567,47,11,NA,NA,83,407,667,381,NA,NA,202,91,5075
"319",41004,4,410,1,"Llanuras del Gaspar",1,105,0,1,0,0,0,0,0,56,4,0,0,1,6,68,0,1,69,36,0,NA,1,0,NA,NA,0,NA,1,0,1,45,3,1,2,NA,0,10,64,2,3,69,36,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,19,0,NA,NA,0,NA,NA,4,NA,65,2,2,69,36,"Llanuras del Gaspar",1,1,205,111,103,0,0,0,27,0,8,0,29,2,28,0,0,2,7,5,3,94,111,103,0,NA,2,1,16,NA,2,NA,NA,36,0,NA,0,23,NA,NA,2,9,NA,NA,NA,NA,NA,1,1,10,NA,5,3,94,111,103,NA,NA,NA,0,13,NA,NA,3,NA,NA,NA,NA,NA,39,1,NA,NA,NA,NA,1,17,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,0,NA,8,NA,5,3,94,1,1,282,161,155,2,0,1,0,0,61,73,17,1,5,1,121,161,158,4,NA,0,NA,5,0,0,63,NA,NA,61,NA,NA,NA,18,NA,4,3,1,2,121,161,153,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,2,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,1,0,NA,NA,5,3,121,1,357,219,217,1,12,0,0,62,0,73,49,0,0,17,0,3,2,0,138,219,214,1,19,NA,NA,0,0,NA,38,1,108,19,0,0,NA,NA,1,21,1,5,NA,NA,3,2,138
"320",41005,4,410,2,"Cureña",2,137,0,4,0,0,1,1,0,35,19,0,4,0,22,86,2,0,88,49,0,NA,2,0,NA,NA,1,NA,5,0,1,29,16,0,9,NA,0,19,82,2,4,88,49,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,0,NA,1,NA,2,NA,NA,29,12,NA,NA,8,NA,NA,6,NA,81,4,3,88,49,"Cureña",2,2,161,90,87,0,0,1,38,0,5,1,37,0,5,0,0,0,0,2,1,71,90,83,0,NA,1,11,23,NA,2,NA,NA,17,1,NA,0,25,NA,NA,0,3,NA,NA,NA,NA,NA,0,0,0,NA,5,2,71,90,81,NA,NA,NA,7,10,NA,NA,2,NA,NA,NA,NA,NA,17,0,NA,NA,NA,NA,0,20,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,21,0,NA,1,NA,7,2,71,2,2,237,135,126,11,0,2,1,1,47,28,36,0,8,1,102,135,128,48,NA,1,NA,2,3,7,32,NA,NA,7,NA,NA,NA,25,NA,1,2,6,1,102,135,125,62,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,10,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,1,0,NA,NA,9,1,102,2,278,155,152,0,27,0,0,19,0,56,32,0,2,0,0,16,3,0,123,155,153,1,19,NA,NA,1,6,NA,4,0,84,19,0,0,NA,NA,1,2,1,15,NA,NA,1,1,123
"321",50101,5,501,3,"Liberia",59,22839,4,153,2,122,25,12,21,6736,2079,4,37,22,5152,14369,287,72,14728,8111,13,NA,569,15,NA,NA,350,NA,132,42,44,6077,1609,23,543,NA,41,4845,14303,255,168,14726,8113,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,NA,158,NA,101,NA,NA,5679,2593,NA,NA,384,NA,NA,4767,NA,14209,267,250,14726,8113,"Liberia",10,10,26694,14717,14299,16,22,207,4984,16,903,17,6513,128,914,15,23,150,391,308,110,11977,14721,14195,24,NA,57,634,2942,NA,98,NA,NA,1481,NA,NA,58,5899,NA,NA,204,730,NA,NA,NA,944,NA,50,156,918,NA,385,141,11973,14719,14154,NA,NA,125,550,2696,NA,NA,556,NA,NA,NA,NA,NA,1570,NA,NA,NA,NA,NA,48,5527,NA,NA,154,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,527,NA,394,171,11975,70,12,31547,19323,18857,1300,16,28,199,40,8247,4446,3704,877,381,85,12224,19322,18710,1683,NA,128,NA,163,811,165,4410,NA,NA,1670,NA,NA,NA,1603,NA,NA,8077,428,184,12225,19321,18581,1961,NA,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,5397,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2576,NA,NA,NA,6112,NA,NA,473,267,12226,67,35159,20966,20575,90,4133,32,47,3820,19,7345,2485,46,184,276,281,1817,315,76,14193,20961,20561,417,2700,NA,NA,50,87,NA,3462,32,6067,1691,66,NA,NA,NA,227,1059,598,4105,NA,NA,299,101,14198
"322",50102,5,501,4,"Cañas Dulces",6,1396,1,7,1,48,2,2,1,405,99,0,2,5,451,1024,12,5,1041,355,0,NA,9,0,NA,NA,63,NA,0,2,0,318,61,0,7,NA,2,548,1010,19,11,1040,356,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,0,NA,1,NA,NA,467,76,NA,NA,10,NA,NA,341,NA,979,30,31,1040,356,"Cañas Dulces",4,4,1584,1014,965,0,2,61,349,2,60,2,393,12,55,1,0,6,22,33,16,570,1014,950,0,NA,4,94,131,NA,4,NA,NA,77,NA,NA,3,338,NA,NA,13,19,NA,NA,NA,229,NA,2,8,28,NA,47,17,570,1014,949,NA,NA,6,70,110,NA,NA,15,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,6,326,NA,NA,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,37,NA,51,14,570,5,4,1837,1262,1218,85,1,5,31,2,634,243,186,31,30,14,575,1262,1207,126,NA,10,NA,49,91,7,442,NA,NA,67,NA,NA,NA,94,NA,NA,321,23,32,575,1262,1204,173,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,493,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,182,NA,NA,36,22,575,5,2014,1262,1225,3,161,0,4,165,1,451,137,2,4,153,13,131,32,5,752,1262,1234,22,79,NA,NA,2,5,NA,130,4,322,47,0,NA,NA,NA,12,209,15,387,NA,NA,19,9,752
